Data;Consumo(kWh)
14/03/2024;0.736
15/03/2024;1.399
16/03/2024;0.828
17/03/2024;1.361
18/03/2024;1.043
19/03/2024;1.238
20/03/2024;0.804
21/03/2024;0.718
22/03/2024;0.477
23/03/2024;0.309
