Data;Consumo(kWh)
28/03/2024;1.102
29/03/2024;0.125
30/03/2024;0.778
31/03/2024;0.102
01/04/2024;0.163
02/04/2024;0.911
03/04/2024;0.152
04/04/2024;0.284
05/04/2024;0.201
06/04/2024;0.6
07/04/2024;0.203
08/04/2024;0.199
09/04/2024;0.251
10/04/2024;0.188
11/04/2024;0.879
12/04/2024;0.198
13/04/2024;0.091
