Data;Consumo(kWh)
07/03/2024;1.475
08/03/2024;2.397
09/03/2024;2.218
10/03/2024;1.947
11/03/2024;3.03
12/03/2024;2.304
13/03/2024;2.733
14/03/2024;1.008
